Stazione,Inquinante,Data,Ora,Valore,"Unità di misura"
"Parco S. Chiara",PM10,2013-11-01,1,23,µg/mc
"Parco S. Chiara",PM10,2013-11-01,2,25,µg/mc
"Parco S. Chiara",PM10,2013-11-01,3,23,µg/mc
"Parco S. Chiara",PM10,2013-11-01,4,21,µg/mc
"Parco S. Chiara",PM10,2013-11-01,5,20,µg/mc
"Parco S. Chiara",PM10,2013-11-01,6,20,µg/mc
"Parco S. Chiara",PM10,2013-11-01,7,22,µg/mc
"Parco S. Chiara",PM10,2013-11-01,8,24,µg/mc
"Parco S. Chiara",PM10,2013-11-01,9,26,µg/mc
"Parco S. Chiara",PM10,2013-11-01,10,24,µg/mc
"Parco S. Chiara",PM10,2013-11-01,11,23,µg/mc
"Parco S. Chiara",PM10,2013-11-01,12,18,µg/mc
"Parco S. Chiara",PM10,2013-11-01,13,18,µg/mc
"Parco S. Chiara",PM10,2013-11-01,14,18,µg/mc
"Parco S. Chiara",PM10,2013-11-01,15,20,µg/mc
"Parco S. Chiara",PM10,2013-11-01,16,22,µg/mc
"Parco S. Chiara",PM10,2013-11-01,17,27,µg/mc
"Parco S. Chiara",PM10,2013-11-01,18,36,µg/mc
"Parco S. Chiara",PM10,2013-11-01,19,45,µg/mc
"Parco S. Chiara",PM10,2013-11-01,20,38,µg/mc
"Parco S. Chiara",PM10,2013-11-01,21,43,µg/mc
"Parco S. Chiara",PM10,2013-11-01,22,47,µg/mc
"Parco S. Chiara",PM10,2013-11-01,23,50,µg/mc
"Parco S. Chiara",PM10,2013-11-01,24,49,µg/mc
"Parco S. Chiara",PM10,2013-11-02,1,40,µg/mc
"Parco S. Chiara",PM10,2013-11-02,2,49,µg/mc
"Parco S. Chiara",PM10,2013-11-02,3,50,µg/mc
"Parco S. Chiara",PM10,2013-11-02,4,40,µg/mc
"Parco S. Chiara",PM10,2013-11-02,5,42,µg/mc
"Parco S. Chiara",PM10,2013-11-02,6,33,µg/mc
"Parco S. Chiara",PM10,2013-11-02,7,39,µg/mc
"Parco S. Chiara",PM10,2013-11-02,8,26,µg/mc
"Parco S. Chiara",PM10,2013-11-02,9,38,µg/mc
"Parco S. Chiara",PM10,2013-11-02,10,42,µg/mc
"Parco S. Chiara",PM10,2013-11-02,11,43,µg/mc
"Parco S. Chiara",PM10,2013-11-02,12,43,µg/mc
"Parco S. Chiara",PM10,2013-11-02,13,42,µg/mc
"Parco S. Chiara",PM10,2013-11-02,14,35,µg/mc
"Parco S. Chiara",PM10,2013-11-02,15,29,µg/mc
"Parco S. Chiara",PM10,2013-11-02,16,27,µg/mc
"Parco S. Chiara",PM10,2013-11-02,17,26,µg/mc
"Parco S. Chiara",PM10,2013-11-02,18,28,µg/mc
"Parco S. Chiara",PM10,2013-11-02,19,33,µg/mc
"Parco S. Chiara",PM10,2013-11-02,20,32,µg/mc
"Parco S. Chiara",PM10,2013-11-02,21,32,µg/mc
"Parco S. Chiara",PM10,2013-11-02,22,33,µg/mc
"Parco S. Chiara",PM10,2013-11-02,23,33,µg/mc
"Parco S. Chiara",PM10,2013-11-02,24,33,µg/mc
"Parco S. Chiara",PM10,2013-11-03,1,35,µg/mc
"Parco S. Chiara",PM10,2013-11-03,2,37,µg/mc
"Parco S. Chiara",PM10,2013-11-03,3,41,µg/mc
"Parco S. Chiara",PM10,2013-11-03,4,50,µg/mc
"Parco S. Chiara",PM10,2013-11-03,5,52,µg/mc
"Parco S. Chiara",PM10,2013-11-03,6,35,µg/mc
"Parco S. Chiara",PM10,2013-11-03,7,20,µg/mc
"Parco S. Chiara",PM10,2013-11-03,8,15,µg/mc
"Parco S. Chiara",PM10,2013-11-03,9,11,µg/mc
"Parco S. Chiara",PM10,2013-11-03,10,10,µg/mc
"Parco S. Chiara",PM10,2013-11-03,11,9,µg/mc
"Parco S. Chiara",PM10,2013-11-03,12,8,µg/mc
"Parco S. Chiara",PM10,2013-11-03,13,6,µg/mc
"Parco S. Chiara",PM10,2013-11-03,14,5,µg/mc
"Parco S. Chiara",PM10,2013-11-03,15,6,µg/mc
"Parco S. Chiara",PM10,2013-11-03,16,12,µg/mc
"Parco S. Chiara",PM10,2013-11-03,17,10,µg/mc
"Parco S. Chiara",PM10,2013-11-03,18,2,µg/mc
"Parco S. Chiara",PM10,2013-11-03,19,2,µg/mc
"Parco S. Chiara",PM10,2013-11-03,20,2,µg/mc
"Parco S. Chiara",PM10,2013-11-03,21,1,µg/mc
"Parco S. Chiara",PM10,2013-11-03,22,2,µg/mc
"Parco S. Chiara",PM10,2013-11-03,23,2,µg/mc
"Parco S. Chiara",PM10,2013-11-03,24,2,µg/mc
"Parco S. Chiara",PM10,2013-11-04,1,2,µg/mc
"Parco S. Chiara",PM10,2013-11-04,2,3,µg/mc
"Parco S. Chiara",PM10,2013-11-04,3,3,µg/mc
"Parco S. Chiara",PM10,2013-11-04,4,3,µg/mc
"Parco S. Chiara",PM10,2013-11-04,5,3,µg/mc
"Parco S. Chiara",PM10,2013-11-04,6,3,µg/mc
"Parco S. Chiara",PM10,2013-11-04,7,4,µg/mc
"Parco S. Chiara",PM10,2013-11-04,8,4,µg/mc
"Parco S. Chiara",PM10,2013-11-04,9,5,µg/mc
"Parco S. Chiara",PM10,2013-11-04,10,6,µg/mc
"Parco S. Chiara",PM10,2013-11-04,11,5,µg/mc
"Parco S. Chiara",PM10,2013-11-04,12,6,µg/mc
"Parco S. Chiara",PM10,2013-11-04,13,6,µg/mc
"Parco S. Chiara",PM10,2013-11-04,14,7,µg/mc
"Parco S. Chiara",PM10,2013-11-04,15,8,µg/mc
"Parco S. Chiara",PM10,2013-11-04,16,11,µg/mc
"Parco S. Chiara",PM10,2013-11-04,17,14,µg/mc
"Parco S. Chiara",PM10,2013-11-04,18,15,µg/mc
"Parco S. Chiara",PM10,2013-11-04,19,15,µg/mc
"Parco S. Chiara",PM10,2013-11-04,20,14,µg/mc
"Parco S. Chiara",PM10,2013-11-04,21,12,µg/mc
"Parco S. Chiara",PM10,2013-11-04,22,10,µg/mc
"Parco S. Chiara",PM10,2013-11-04,23,10,µg/mc
"Parco S. Chiara",PM10,2013-11-04,24,10,µg/mc
"Parco S. Chiara",PM10,2013-11-05,1,11,µg/mc
"Parco S. Chiara",PM10,2013-11-05,2,12,µg/mc
