station_appa,date,hour,CO,NO2,O3,PM10,PM2.5,SO2,geometry_appa,AQI,EAQI,station_weather,elevation,temperature,precipitation,winds_spd,winds_dir,geometry_weather,power_area_50,power_area_1000,power_area_2500,week_day
Borgo Valsugana,2013-11-01,1,,21.0,2.0,19.0,12.0,,POINT (11.45389 46.05184),24.0,fair,T0392,410,11.35,0.0,,,POINT (11.47747769 46.05804607),17.760272860116686,42.94677168156467,54.704690034932085,friday
Borgo Valsugana,2013-11-01,2,,18.0,2.0,18.0,11.0,,POINT (11.45389 46.05184),22.0,fair,T0392,410,11.525,0.0,,,POINT (11.47747769 46.05804607),16.362438593591662,39.76241630632567,52.67922881884939,friday
Borgo Valsugana,2013-11-01,3,,19.0,2.0,19.0,12.0,,POINT (11.45389 46.05184),24.0,fair,T0392,410,11.425,0.0,,,POINT (11.47747769 46.05804607),17.861263755901696,41.28391537999835,50.2942138410668,friday
Borgo Valsugana,2013-11-01,4,,17.0,2.0,20.0,11.0,,POINT (11.45389 46.05184),22.0,fair,T0392,410,11.075,0.0,,,POINT (11.47747769 46.05804607),14.669912582500647,36.11927920324242,45.10585915601482,friday
Borgo Valsugana,2013-11-01,5,,18.0,2.0,21.0,13.0,,POINT (11.45389 46.05184),26.0,fair,T0392,410,10.95,0.0,,,POINT (11.47747769 46.05804607),16.969367003852984,39.62613522722433,48.95122160213089,friday
Borgo Valsugana,2013-11-01,6,,16.0,2.0,19.0,13.0,,POINT (11.45389 46.05184),26.0,fair,T0392,410,11.0,0.0,,,POINT (11.47747769 46.05804607),15.329278048961118,38.42991253292493,49.25719246253576,friday
Borgo Valsugana,2013-11-01,7,,16.0,2.0,24.0,16.0,,POINT (11.45389 46.05184),32.0,fair,T0392,410,10.925,0.0,,,POINT (11.47747769 46.05804607),17.519438433207007,43.56816087893525,58.529167022515054,friday
Borgo Valsugana,2013-11-01,8,,15.0,2.0,19.0,11.0,,POINT (11.45389 46.05184),22.0,fair,T0392,410,10.95,0.0,,,POINT (11.47747769 46.05804607),17.446178236762716,44.84980178652904,57.38579463131331,friday
Borgo Valsugana,2013-11-01,9,,15.0,3.0,22.0,12.0,,POINT (11.45389 46.05184),24.0,fair,T0392,410,11.55,0.0,,,POINT (11.47747769 46.05804607),17.484407681921184,47.295629334297985,63.13238793514268,friday
Borgo Valsugana,2013-11-01,10,,18.0,5.0,26.0,14.0,,POINT (11.45389 46.05184),28.0,fair,T0392,410,12.15,0.0,,,POINT (11.47747769 46.05804607),17.774179694892823,48.69002697932529,63.09883229012957,friday
Borgo Valsugana,2013-11-01,11,,17.0,9.0,23.0,13.0,,POINT (11.45389 46.05184),26.0,fair,T0392,410,12.85,0.0,,,POINT (11.47747769 46.05804607),17.936619879257247,49.678355111505475,64.21178751022202,friday
