station_Borgo Valsugana,station_Parco S. Chiara,station_Rovereto,elevation,day,cos_week_day,sin_week_day,cos_hour,sin_hour,temperature,precipitation,PM2.5_1,PM2.5_2,PM2.5_3,PM2.5_diff_1,PM2.5_diff_2,NO2_1,power_area_50_1,power_area_50_2,target
1,0,0,410,1,-0.9009688679024191,-0.433883739117558,6.123233995736766e-17,1.0,10.95,0.0,13.0,11.0,12.0,2.0,1.0,18.0,16.969367003852984,14.669912582500649,13.0
1,0,0,410,1,-0.9009688679024191,-0.433883739117558,-0.25881904510252063,0.9659258262890683,11.0,0.0,13.0,13.0,11.0,0.0,2.0,16.0,15.329278048961118,16.969367003852984,16.0
1,0,0,410,1,-0.9009688679024191,-0.433883739117558,-0.4999999999999998,0.8660254037844388,10.925,0.0,16.0,13.0,13.0,3.0,3.0,16.0,17.519438433207007,15.329278048961118,11.0
1,0,0,410,1,-0.9009688679024191,-0.433883739117558,-0.7071067811865475,0.7071067811865476,10.95,0.0,11.0,16.0,13.0,-5.0,-2.0,15.0,17.446178236762716,17.519438433207007,12.0
1,0,0,410,1,-0.9009688679024191,-0.433883739117558,-0.8660254037844387,0.49999999999999994,11.55,0.0,12.0,11.0,16.0,1.0,-4.0,15.0,17.484407681921184,17.446178236762716,14.0
1,0,0,410,1,-0.9009688679024191,-0.433883739117558,-0.9659258262890682,0.258819045102521,12.15,0.0,14.0,12.0,11.0,2.0,3.0,18.0,17.774179694892823,17.484407681921184,13.0
1,0,0,410,1,-0.9009688679024191,-0.433883739117558,-1.0,1.2246467991473532e-16,12.85,0.0,13.0,14.0,12.0,-1.0,1.0,17.0,17.936619879257247,17.774179694892823,13.0
1,0,0,410,1,-0.9009688679024191,-0.433883739117558,-0.9659258262890683,-0.2588190451025208,13.8,0.0,13.0,13.0,14.0,0.0,-1.0,18.0,18.9687063299356,17.936619879257247,10.0
1,0,0,410,1,-0.9009688679024191,-0.433883739117558,-0.8660254037844388,-0.4999999999999998,14.85,0.0,10.0,13.0,13.0,-3.0,-3.0,14.0,16.37486097732289,18.9687063299356,8.0
1,0,0,410,1,-0.9009688679024191,-0.433883739117558,-0.7071067811865479,-0.7071067811865471,15.55,0.0,8.0,10.0,13.0,-2.0,-5.0,15.0,16.91239809419171,16.37486097732289,7.0
1,0,0,410,1,-0.9009688679024191,-0.433883739117558,-0.5000000000000004,-0.8660254037844384,14.675,0.0,7.0,8.0,10.0,-1.0,-3.0,13.0,14.09493238105547,16.91239809419171,3.0
1,0,0,410,1,-0.9009688679024191,-0.433883739117558,-0.25881904510252063,-0.9659258262890683,13.875,0.0,3.0,7.0,8.0,-4.0,-5.0,20.0,14.937325351919927,14.09493238105547,3.0
